id, count201510
4124 , 0
4125 , 0
4126 , 0
4127 , 0
4128 , 152359
4129 , 0
4130 , 0
4131 , 8
4132 , 0
4133 , 0
4134 , 134
4135 , 4
4136 , 304
4137 , 0
4138 , 0
4139 , 0
4140 , 0
4141 , 0
4142 , 0
4143 , 0
4144 , 0
4145 , 0
4146 , 0
4147 , 0
4148 , 0
4149 , 0
4150 , 0
4151 , 0
4152 , 0
4153 , 0
4154 , 0
4155 , 0
4156 , 0
4157 , 0
4158 , 1
4159 , 269
4160 , 0
4161 , 0
4162 , 0
4163 , 0
4164 , 0
4165 , 0
4166 , 0
4167 , 0
4168 , 0
4169 , 0
4170 , 0
4171 , 0
4172 , 0
4173 , 0
4174 , 0
4175 , 0
4176 , 50
4177 , 0
4178 , 0
4179 , 3
4180 , 0
4181 , 0
4182 , 0
4183 , 4
4184 , 0
4185 , 0
4186 , 0
4187 , 5
4188 , 0
4189 , 1
4190 , 0
4191 , 0
4192 , 48
4193 , 0
4194 , 0
4195 , 0
4196 , 149
4197 , 9
4198 , 0
4199 , 0
4200 , 0
4201 , 0
4202 , 0
4203 , 2
4204 , 0
4205 , 0
4206 , 0
4207 , 0
4208 , 0
4209 , 0
4210 , 0
4211 , 0
4212 , 0
4213 , 0
4214 , 0
4215 , 0
4216 , 52384
4217 , 0
4218 , 0
4219 , 46
4220 , 1
4221 , 44
4222 , 3
4223 , 0
4224 , 13165
4225 , 0
4226 , 0
4227 , 0
4228 , 0
4229 , 0
4230 , 0
4231 , 0
4232 , 0
4233 , 0
4234 , 97
4235 , 0
4236 , 0
4237 , 0
4238 , 0
4239 , 0
4240 , 0
4241 , 4
4242 , 0
4243 , 6
4244 , 0
4245 , 0
4246 , 0
4247 , 0
4248 , 0
4249 , 0
4250 , 0
4251 , 0
4252 , 0
4253 , 1
4254 , 2693
4255 , 0
4256 , 0
4257 , 0
4258 , 0
4259 , 0
4260 , 103
4261 , 0
4262 , 1067
4263 , 103
4264 , 0
4265 , 0
4266 , 0
4267 , 0
4268 , 0
4269 , 0
4270 , 2
4271 , 0
4272 , 0
4273 , 0
4274 , 0
4275 , 0
4276 , 0
4277 , 52969
4278 , 0
4279 , 2
4280 , 0
4281 , 0
4282 , 0
4283 , 0
4284 , 0
4285 , 0
4286 , 0
4287 , 0
4288 , 0
4289 , 0
4290 , 0
4291 , 0
4292 , 0
4293 , 1
4294 , 0
4295 , 9
4296 , 1
4297 , 1
4298 , 3
4299 , 0
4300 , 0
4301 , 0
4302 , 0
4303 , 7
4304 , 0
4305 , 0
4306 , 0
4307 , 0
4308 , 0
4309 , 49
4310 , 0
4311 , 1
4312 , 0
4313 , 0
4314 , 0
4315 , 0
4316 , 46
4317 , 0
4318 , 0
4319 , 1
4320 , 0
4321 , 0
4322 , 0
4323 , 0
4324 , 0
4325 , 0
4326 , 1
4327 , 2
4328 , 46
4329 , 0
4330 , 18
4331 , 0
4332 , 0
4333 , 0
4334 , 0
4335 , 0
4336 , 0
4337 , 0
4338 , 0
4339 , 0
4340 , 0
4341 , 0
4342 , 0
4343 , 0
4344 , 1
4345 , 0
4346 , 0
4347 , 0
4348 , 0
4349 , 0
4350 , 0
4351 , 7614
4352 , 0
4353 , 0
4354 , 0
4355 , 0
4356 , 1
4357 , 10
4358 , 0
4359 , 0
4360 , 0
4361 , 0
4362 , 0
4363 , 0
4364 , 0
4365 , 0
4366 , 0
4367 , 0
4368 , 0
4369 , 0
4370 , 0
4371 , 0
4372 , 2
4373 , 2
4374 , 0
4375 , 0
4376 , 21
4377 , 0
4378 , 0
4379 , 98
4380 , 0
4381 , 0
4382 , 0
4383 , 0
4384 , 0
4385 , 0
4386 , 0
4387 , 0
4388 , 55
4389 , 0
4390 , 107
4391 , 0
4392 , 0
4393 , 0
4394 , 3986
4395 , 0
4396 , 565398
4397 , 0
4398 , 0
4399 , 509855
4400 , 0
4401 , 0
4402 , 509855
4403 , 0
4404 , 509855
4405 , 8854
4406 , 509855
4407 , 0
4408 , 18592777
4409 , 1160303
4410 , 0
4411 , 0
4412 , 0
4413 , 0
4414 , 0
4415 , 0
4416 , 0
4417 , 0
4418 , 0
4419 , 0
4420 , 0
4421 , 0
4422 , 0
4423 , 0
4424 , 0
4425 , 0
4426 , 0
4427 , 0
4428 , 0
4429 , 0
4430 , 0
4431 , 0
4432 , 0
4433 , 0
4434 , 0
4435 , 0
4436 , 0
4437 , 0
4438 , 0
4439 , 0
4440 , 0
4441 , 0
4442 , 0
4443 , 0
4444 , 0
4445 , 0
4446 , 0
4447 , 0
4448 , 0
4449 , 0
4450 , 0
4451 , 0
4452 , 0
4453 , 0
4454 , 0
4455 , 0
4456 , 0
4457 , 0
4458 , 0
4459 , 0
4460 , 177538
4461 , 0
4462 , 0
4463 , 0
4464 , 583
4465 , 0
4466 , 249
4467 , 0
4468 , 0
4469 , 0
4470 , 0
4471 , 0
4472 , 0
4473 , 0
4474 , 0
4475 , 0
4476 , 0
